[00:00:00,000] 男子抱着狗站在门口，背景是装饰有照片的墙壁。
[00:00:06,000] 女子站在卧室窗边，床铺整齐。
[00:00:09,000] 男子和女子在床上抚摸小狗。
[00:00:12,000] 男女趴在床上，与狗亲密互动。
[00:00:15,000] 男子坐在床边，凝视窗外，气氛低沉。
[00:00:18,000] 20th Century Studios片头标志。
[00:00:21,000] 废弃建筑和场地，停有损坏车辆与直升机。
[00:00:24,000] 手展示一张画有人物和狗的儿童画。
[00:00:27,000] 男子在荒芜草地中奔跑。
[00:00:30,000] 男子特写，神情凝重。
[00:00:33,000] 黑屏显示“FROM LEGENDARY DIRECTOR RIDLEY SCOTT”。
[00:00:36,000] 墓地中，两人站在墓前，背景有众人。
[00:00:39,000] 山间岩石上，男女对坐交谈。
[00:00:42,000] 男子特写，伸手与对方互动。
[00:00:45,000] 黑屏显示导演作品列表。
[00:00:48,000] 废弃场地，一人一狗站在建筑前  
[00:00:51,000] 男子在昏暗环境中，神情紧张  
[00:00:54,000] 瞭望塔下，村庄坐落在群山间  
[00:00:57,000] 湖边男子举枪，狗在旁注视  
[00:01:00,000] 木屋外三人围桌，似在商议  
[00:01:03,000] 瞄准镜中，树林在夜色中  
[00:01:06,000] 飞机飞越山林，尾迹清晰  
[00:01:09,000] 室内男子对峙，背景堆满杂物  
[00:01:12,000] 室内多人打斗，场面混乱  
[00:01:15,000] 黄色小飞机停在土路，一人挥手  
[00:01:18,000] 草地男女对视，女子低头沉思  
[00:01:21,000] 男子持枪望向飞来的飞机  
[00:01:24,000] 黑屏显示原著声明  
[00:01:27,000] 贴满证件的海报，有美国国旗图案  
[00:01:30,000] 黑屏显示演员信息
[00:01:33,000] 昏暗室内，人物操作设备，背景有门和设备。
[00:01:36,000] 片头Logo（显示演员 Josh Brolin）
[00:01:39,000] 昏暗房间内，两人举杯对碰。
[00:01:42,000] 片头Logo（显示演员 Margaret Qualley）
[00:01:45,000] 夜晚户外，女性神情紧张。
[00:01:48,000] 女性戴蓝色帽子，面带微笑。
[00:01:51,000] 农场院落，多人对峙。
[00:01:54,000] 森林中，老者持枪望向远方。
[00:01:57,000] 室内发生爆炸，火焰四溅。
[00:02:00,000] 车内，两人互动，女性靠近男性。
[00:02:03,000] 黄色飞机旁，两人奔跑。
[00:02:06,000] 男子跃上飞机，身后骑兵追赶。
[00:02:09,000] 片头Logo（显示电影名 The Dog Stars）
[00:02:12,000] 黑屏，电影名 The Dog Stars
[00:02:15,000] 宣传信息：IMAX 8月上映
